67,train accuracy,0.7729
67,test accuracy,0.8547777777777777
68,train accuracy,0.7727
68,test accuracy,0.8625555555555555
69,train accuracy,0.7734
69,test accuracy,0.8692222222222222
70,train accuracy,0.7758
70,test accuracy,0.8541111111111112
71,train accuracy,0.7756
71,test accuracy,0.8658888888888889
72,train accuracy,0.7753
72,test accuracy,0.8692222222222222
73,train accuracy,0.7788
73,test accuracy,0.8703333333333333
74,train accuracy,0.7797
74,test accuracy,0.8661111111111112
75,train accuracy,0.7772
75,test accuracy,0.8732222222222222
76,train accuracy,0.7727
76,test accuracy,0.8711111111111111
77,train accuracy,0.7727
77,test accuracy,0.8658888888888889
78,train accuracy,0.7683
78,test accuracy,0.8425555555555555
79,train accuracy,0.7696
79,test accuracy,0.866
80,train accuracy,0.7804
80,test accuracy,0.8648888888888889
81,train accuracy,0.7771
81,test accuracy,0.8624444444444445
82,train accuracy,0.783
82,test accuracy,0.8654444444444445
83,train accuracy,0.7818
83,test accuracy,0.8706666666666667
84,train accuracy,0.7852
84,test accuracy,0.8664444444444445
85,train accuracy,0.7808
85,test accuracy,0.8685555555555555
86,train accuracy,0.7719
86,test accuracy,0.8584444444444445
87,train accuracy,0.7853
87,test accuracy,0.8581111111111112
88,train accuracy,0.7804
88,test accuracy,0.8501111111111112
89,train accuracy,0.7799
89,test accuracy,0.8643333333333333
90,train accuracy,0.7869
90,test accuracy,0.8655555555555555
91,train accuracy,0.7879
91,test accuracy,0.8678888888888889
92,train accuracy,0.7881
92,test accuracy,0.8702222222222222
93,train accuracy,0.7869
93,test accuracy,0.8698888888888889
94,train accuracy,0.7896
94,test accuracy,0.8744444444444445
95,train accuracy,0.7877
95,test accuracy,0.8751111111111111
96,train accuracy,0.7904
96,test accuracy,0.8661111111111112
97,train accuracy,0.7907
97,test accuracy,0.8603333333333333
98,train accuracy,0.7938
98,test accuracy,0.8651111111111112
99,train accuracy,0.7782
99,test accuracy,0.8711111111111111
100,train accuracy,0.7871
100,test accuracy,0.8615555555555555
101,train accuracy,0.7945
101,test accuracy,0.8676666666666667
102,train accuracy,0.7955
102,test accuracy,0.8676666666666667
103,train accuracy,0.7899
103,test accuracy,0.8677777777777778
104,train accuracy,0.7949
104,test accuracy,0.8693333333333333
105,train accuracy,0.7977
105,test accuracy,0.8706666666666667
106,train accuracy,0.796
106,test accuracy,0.866
107,train accuracy,0.7981
107,test accuracy,0.8651111111111112
108,train accuracy,0.7938
108,test accuracy,0.8708888888888889
109,train accuracy,0.7953
109,test accuracy,0.8731111111111111
110,train accuracy,0.7975
110,test accuracy,0.872
111,train accuracy,0.7988
111,test accuracy,0.8766666666666667
112,train accuracy,0.7973
112,test accuracy,0.8654444444444445
113,train accuracy,0.798
113,test accuracy,0.8632222222222222
114,train accuracy,0.7977
114,test accuracy,0.8676666666666667
115,train accuracy,0.8016
115,test accuracy,0.8715555555555555
116,train accuracy,0.8003
116,test accuracy,0.8745555555555555
117,train accuracy,0.8032
117,test accuracy,0.8732222222222222
118,train accuracy,0.7984
118,test accuracy,0.8736666666666667
119,train accuracy,0.8029
119,test accuracy,0.8682222222222222
120,train accuracy,0.7947
120,test accuracy,0.8654444444444445
121,train accuracy,0.8005
121,test accuracy,0.8671111111111112
122,train accuracy,0.8035
122,test accuracy,0.8647777777777778
123,train accuracy,0.8024
123,test accuracy,0.8708888888888889
124,train accuracy,0.8036
124,test accuracy,0.866
125,train accuracy,0.8004
125,test accuracy,0.8698888888888889
126,train accuracy,0.7981
126,test accuracy,0.8705555555555555
127,train accuracy,0.7943
127,test accuracy,0.8768888888888889
128,train accuracy,0.8026
128,test accuracy,0.8718888888888889
129,train accuracy,0.8059
129,test accuracy,0.8665555555555555
130,train accuracy,0.8065
130,test accuracy,0.8758888888888889
